channel,sku,shipment_id,quantity_sold,quantity_returned,gross_sale,taxes,net_sales,created_at
marketplace,SKU-05145,SHP-0004989,2,0,800,168,632,1.750610296E9
online,SKU-95256,SHP-0026537,2,0,500,105,395,1.750600507E9
online,SKU-01065,SHP-0002262,3,0,840,176.4,663.6,1.750560117E9
wholesale,SKU-05145,SHP-0001104,1,0,400,0,400,1.769155708E9
wholesale,SKU-02021,SHP-0023960,1,0,60,0,60,1.769209967E9
marketplace,SKU-02366,SHP-0003072,2,0,500,105,395,1.76916739E9
wholesale,SKU-01756,SHP-0018743,3,0,900,0,900,1.769207703E9
online,SKU-09214,SHP-0013054,3,0,750,157.5,592.5,1.769135711E9
retail,SKU-03628,SHP-0016898,3,0,270,56.7,213.3,1.769130785E9
online,SKU-07811,SHP-0007527,3,0,270,56.7,213.3,1.769207479E9
online,SKU-07141,SHP-0025294,3,0,1650,346.5,1303.5,1.769190195E9
online,SKU-09214,SHP-0016218,4,0,1000,210,790,1.769156105E9
online,SKU-06947,SHP-0012258,4,0,480,100.8,379.2,1.769196298E9
wholesale,SKU-04249,SHP-0001493,1,0,30,0,30,1.73435741E9
wholesale,SKU-07194,SHP-0006594,2,0,160,0,160,1.734327549E9
wholesale,SKU-04641,SHP-0023257,2,0,440,0,440,1.734373458E9
online,SKU-02680,SHP-0028889,2,0,800,168,632,1.734355896E9
wholesale,SKU-02021,SHP-0020043,1,0,60,0,60,1.719028024E9
wholesale,SKU-01952,SHP-0005123,1,0,90,0,90,1.719081037E9
wholesale,SKU-01813,SHP-0020508,1,0,550,0,550,1.719090709E9
wholesale,SKU-04445,SHP-0009633,2,0,360,0,360,1.719051202E9
online,SKU-02610,SHP-0011918,2,0,800,168,632,1.719080332E9
online,SKU-02918,SHP-0007640,3,0,1350,283.5,1066.5,1.719017235E9
online,SKU-01065,SHP-0020452,4,4,1120,235.2,884.8,1.719036085E9
wholesale,SKU-06130,SHP-0002953,1,0,30,0,30,1.734225863E9
wholesale,SKU-09214,SHP-0017537,1,0,250,0,250,1.734277354E9
wholesale,SKU-07829,SHP-0000769,2,0,700,0,700,1.734258668E9
online,SKU-02610,SHP-0000361,2,0,800,168,632,1.734269725E9
online,SKU-04081,SHP-0024769,2,1,800,168,632,1.73427921E9
wholesale,SKU-09176,SHP-0005680,1,0,250,0,250,1.76244345E9
wholesale,SKU-07887,SHP-0028294,1,1,60,0,60,1.762467456E9
wholesale,SKU-04135,SHP-0010234,2,0,560,0,560,1.762469392E9
online,SKU-09585,SHP-0025592,3,0,840,176.4,663.6,1.762458609E9
retail,SKU-05523,SHP-0011365,3,0,1050,220.5,829.5,1.762414263E9
retail,SKU-09785,SHP-0008646,3,0,1050,220.5,829.5,1.762445454E9
wholesale,SKU-02367,SHP-0019361,4,0,480,0,480,1.762430687E9
online,SKU-02246,SHP-0011447,4,0,880,184.8,695.2,1.76246646E9
wholesale,SKU-05221,SHP-0004276,1,0,550,0,550,1.737817869E9
wholesale,SKU-04882,SHP-0017927,2,0,560,0,560,1.737825851E9
retail,SKU-04049,SHP-0024783,4,0,1200,252,948,1.737846129E9
online,SKU-05898,SHP-0024509,4,0,720,151.2,568.8,1.737815093E9
retail,SKU-08559,SHP-0007499,4,2,480,100.8,379.2,1.737797526E9
retail,SKU-07829,SHP-0020636,4,3,1400,294,1106,1.737778464E9
wholesale,SKU-05413,SHP-0002392,1,0,30,0,30,1.762342613E9
wholesale,SKU-07922,SHP-0005081,2,0,440,0,440,1.762336131E9
wholesale,SKU-05498,SHP-0025532,2,0,800,0,800,1.762370059E9
online,SKU-04284,SHP-0004076,2,0,800,168,632,1.762305336E9
marketplace,SKU-02366,SHP-0005696,2,0,500,105,395,1.762314814E9
wholesale,SKU-05200,SHP-0027751,3,0,540,0,540,1.762317133E9
online,SKU-07599,SHP-0008219,3,0,660,138.6,521.4,1.762357038E9
online,SKU-08396,SHP-0003769,3,0,840,176.4,663.6,1.762369428E9
retail,SKU-09925,SHP-0023861,3,0,1050,220.5,829.5,1.762312397E9
wholesale,SKU-01829,SHP-0011707,1,0,30,0,30,1.716962256E9
wholesale,SKU-04284,SHP-0008742,2,0,800,0,800,1.716988994E9
wholesale,SKU-04081,SHP-0029106,1,1,400,0,400,1.777614199E9
wholesale,SKU-08313,SHP-0019952,4,0,1400,0,1400,1.777636301E9
online,SKU-07323,SHP-0014942,3,0,540,113.4,426.6,1.777675433E9
online,SKU-08559,SHP-0026306,4,0,480,100.8,379.2,1.777663224E9
online,SKU-04253,SHP-0001846,3,0,1050,220.5,829.5,1.777595633E9
wholesale,SKU-03628,SHP-0026131,1,0,90,0,90,1.725702091E9
wholesale,SKU-06583,SHP-0008532,2,0,440,0,440,1.725676337E9
online,SKU-07141,SHP-0010834,2,0,1100,231,869,1.72574336E9
online,SKU-05145,SHP-0026595,2,0,800,168,632,1.725701314E9
online,SKU-04882,SHP-0006211,4,4,1120,235.2,884.8,1.725714729E9
wholesale,SKU-06665,SHP-0009825,1,0,250,0,250,1.762475326E9
wholesale,SKU-08583,SHP-0013717,1,0,550,0,550,1.762523635E9
wholesale,SKU-09214,SHP-0023742,1,0,250,0,250,1.76253374E9
wholesale,SKU-08397,SHP-0022130,2,0,440,0,440,1.762482431E9
online,SKU-09878,SHP-0026536,3,3,660,138.6,521.4,1.762551603E9
marketplace,SKU-01808,SHP-0025982,3,2,1050,220.5,829.5,1.7624871E9
wholesale,SKU-03997,SHP-0004742,2,0,600,0,600,1.746063513E9
wholesale,SKU-05203,SHP-0020099,1,0,90,0,90,1.746088734E9
wholesale,SKU-02367,SHP-0022174,4,0,480,0,480,1.746089868E9
online,SKU-07922,SHP-0017757,3,0,660,138.6,521.4,1.746135724E9
marketplace,SKU-04270,SHP-0002336,3,0,660,138.6,521.4,1.746143708E9
online,SKU-01813,SHP-0022078,2,0,1100,231,869,1.746139709E9
wholesale,SKU-02610,SHP-0021787,1,0,400,0,400,1.775596236E9
online,SKU-06583,SHP-0020774,3,0,660,138.6,521.4,1.775570773E9
online,SKU-05452,SHP-0008772,3,0,1350,283.5,1066.5,1.77560427E9
online,SKU-09585,SHP-0002609,4,0,1120,235.2,884.8,1.775599891E9
online,SKU-06947,SHP-0012573,4,0,480,100.8,379.2,1.775594814E9
wholesale,SKU-09214,SHP-0024031,1,0,250,0,250,1.737654526E9
wholesale,SKU-06044,SHP-0000978,2,0,700,0,700,1.737634452E9
online,SKU-09214,SHP-0000634,2,0,500,105,395,1.73763593E9
wholesale,SKU-01829,SHP-0026054,3,0,90,0,90,1.737625928E9
online,SKU-02366,SHP-0017878,3,0,750,157.5,592.5,1.737610205E9
online,SKU-02918,SHP-0008314,3,0,1350,283.5,1066.5,1.737632737E9
wholesale,SKU-08262,SHP-0015676,1,0,90,0,90,1.731126136E9
wholesale,SKU-02680,SHP-0021009,1,0,400,0,400,1.731127939E9
wholesale,SKU-05131,SHP-0024178,3,0,360,0,360,1.731144034E9
wholesale,SKU-05944,SHP-0018841,2,0,700,0,700,1.731144752E9
wholesale,SKU-02366,SHP-0021537,1,0,250,0,250,1.731145476E9
wholesale,SKU-05815,SHP-0006228,1,0,30,0,30,1.731157968E9
wholesale,SKU-08583,SHP-0010333,1,0,550,0,550,1.731181951E9
online,SKU-02680,SHP-0003671,2,0,800,168,632,1.731114536E9
wholesale,SKU-08630,SHP-0013464,1,0,60,0,60,1.7365737E9
wholesale,SKU-02061,SHP-0014265,1,0,30,0,30,1.736636692E9
wholesale,SKU-04424,SHP-0001769,2,0,560,0,560,1.736557911E9
online,SKU-05200,SHP-0026992,3,0,540,113.4,426.6,1.736564005E9
wholesale,SKU-09176,SHP-0002159,1,0,250,0,250,1.766820279E9
online,SKU-02366,SHP-0007874,2,0,500,105,395,1.766801614E9
wholesale,SKU-03006,SHP-0013188,3,0,360,0,360,1.766844738E9
marketplace,SKU-01677,SHP-0028637,4,0,1120,235.2,884.8,1.766824826E9
online,SKU-01813,SHP-0027459,4,0,2200,462,1738,1.766844104E9
online,SKU-07725,SHP-0016018,4,0,320,67.2,252.8,1.766822078E9
online,SKU-96832,SHP-0023815,4,3,720,151.2,568.8,1.766859128E9
wholesale,SKU-09631,SHP-0025667,2,0,560,0,560,1.733098701E9
wholesale,SKU-08633,SHP-0013253,1,0,60,0,60,1.733109607E9
wholesale,SKU-04746,SHP-0018691,2,0,360,0,360,1.733129697E9
wholesale,SKU-07141,SHP-0019752,2,0,1100,0,1100,1.733148579E9
online,SKU-01677,SHP-0022453,3,3,840,176.4,663.6,1.73310221E9
wholesale,SKU-01203,SHP-0009116,1,0,60,0,60,1.765758238E9
wholesale,SKU-01829,SHP-0010641,1,0,30,0,30,1.765759502E9
wholesale,SKU-07811,SHP-0017914,1,0,90,0,90,1.765771298E9
wholesale,SKU-06665,SHP-0004593,1,0,250,0,250,1.765812185E9
wholesale,SKU-05523,SHP-0028109,2,0,700,0,700,1.765830999E9
online,SKU-04284,SHP-0012563,2,0,800,168,632,1.765774198E9
retail,SKU-04284,SHP-0015388,2,0,800,168,632,1.765803792E9
online,SKU-02130,SHP-0022053,3,0,840,176.4,663.6,1.765800806E9
online,SKU-04977,SHP-0024589,3,0,1050,220.5,829.5,1.765830008E9
wholesale,SKU-06386,SHP-0009633,4,0,880,0,880,1.765778282E9
online,SKU-09925,SHP-0011400,4,0,1400,294,1106,1.765761691E9
wholesale,SKU-08658,SHP-0024124,2,0,160,0,160,1.765582925E9
wholesale,SKU-08630,SHP-0021121,1,0,60,0,60,1.765502826E9
wholesale,SKU-07887,SHP-0017036,1,0,60,0,60,1.765522245E9
wholesale,SKU-07887,SHP-0000758,1,0,60,0,60,1.765541203E9
wholesale,SKU-07887,SHP-0010013,1,0,60,0,60,1.765554635E9
wholesale,SKU-04971,SHP-0002154,2,0,240,0,240,1.765499314E9
wholesale,SKU-05815,SHP-0000892,1,0,30,0,30,1.76558228E9
online,SKU-08583,SHP-0007918,2,0,1100,231,869,1.765509821E9
online,SKU-01952,SHP-9303956,3,0,270,56.7,213.3,1.765564227E9
online,SKU-01813,SHP-0017225,3,0,1650,346.5,1303.5,1.765566763E9
online,SKU-05898,SHP-0005301,3,0,540,113.4,426.6,1.765565389E9
online,SKU-03715,SHP-0005373,4,0,1400,294,1106,1.765572029E9
wholesale,SKU-02610,SHP-0013903,1,0,400,0,400,1.735465019E9
wholesale,SKU-05498,SHP-0002027,1,0,400,0,400,1.735495324E9
wholesale,SKU-07811,SHP-0021941,1,0,90,0,90,1.735506361E9
wholesale,SKU-05523,SHP-0016623,2,0,700,0,700,1.735445494E9
wholesale,SKU-09656,SHP-0013833,2,0,400,0,400,1.735467701E9
wholesale,SKU-05524,SHP-0029956,2,0,240,0,240,1.735476835E9
wholesale,SKU-07957,SHP-0018306,3,0,240,0,240,1.73547211E9
online,SKU-02493,SHP-0010724,3,0,270,56.7,213.3,1.735473852E9
online,SKU-08396,SHP-0022776,3,0,840,176.4,663.6,1.735497538E9
wholesale,SKU-08262,SHP-0009040,4,0,360,0,360,1.735515663E9
online,SKU-04551,SHP-0011947,4,2,320,67.2,252.8,1.735485847E9
wholesale,SKU-08630,SHP-0013035,1,0,60,0,60,1.769223489E9
wholesale,SKU-09176,SHP-0010043,1,0,250,0,250,1.769290833E9
wholesale,SKU-04049,SHP-0011236,2,0,600,0,600,1.769236661E9
wholesale,SKU-08101,SHP-0014375,2,0,560,0,560,1.769291748E9
online,SKU-05221,SHP-0017258,2,2,1100,231,869,1.769289497E9
online,SKU-07221,SHP-0008272,3,0,1050,220.5,829.5,1.769296128E9
online,SKU-08101,SHP-0026249,4,0,1120,235.2,884.8,1.769249501E9
online,SKU-06667,SHP-0001581,3,0,540,113.4,426.6,1.76814323E9
retail,SKU-05506,SHP-0029347,3,0,660,138.6,521.4,1.768158044E9
wholesale,SKU-08397,SHP-0029246,2,0,440,0,440,1.768147016E9
wholesale,SKU-02680,SHP-0023926,1,0,400,0,400,1.768148689E9
wholesale,SKU-02610,SHP-0022104,1,0,400,0,400,1.748314291E9
online,SKU-09214,SHP-0003485,3,0,750,157.5,592.5,1.748333743E9
online,SKU-09085,SHP-0015765,3,3,1350,283.5,1066.5,1.748344907E9
online,SKU-02610,SHP-0027577,3,0,1200,252,948,1.748386322E9
wholesale,SKU-06130,SHP-0004459,1,0,30,0,30,1.769694401E9
wholesale,SKU-06130,SHP-0014655,1,0,30,0,30,1.769707451E9
marketplace,SKU-01813,SHP-0011106,3,0,1650,346.5,1303.5,1.769668397E9
retail,SKU-08583,SHP-0001965,3,0,1650,346.5,1303.5,1.769672089E9
online,SKU-07252,SHP-0018501,3,0,1350,283.5,1066.5,1.769723832E9
wholesale,SKU-03628,SHP-0003249,1,0,90,0,90,1.735277123E9
wholesale,SKU-06665,SHP-0001750,1,0,250,0,250,1.735284955E9
wholesale,SKU-08630,SHP-0025489,1,0,60,0,60,1.735295728E9
online,SKU-02610,SHP-0006273,2,0,800,168,632,1.735326395E9
online,SKU-09214,SHP-0006380,2,0,500,105,395,1.735305525E9
online,SKU-03469,SHP-0015351,3,0,840,176.4,663.6,1.735285297E9
online,SKU-07255,SHP-0004388,3,0,540,113.4,426.6,1.735288514E9
retail,SKU-08313,SHP-0028867,3,0,1050,220.5,829.5,1.735300726E9
wholesale,SKU-02680,SHP-0006639,1,0,400,0,400,1.767250969E9
wholesale,SKU-05452,SHP-0009243,2,1,900,0,900,1.767258412E9
wholesale,SKU-01521,SHP-0027144,2,0,240,0,240,1.767267475E9
retail,SKU-02366,SHP-0027135,2,0,500,105,395,1.767300796E9
retail,SKU-09214,SHP-0004781,3,0,750,157.5,592.5,1.767273629E9
online,SKU-05944,SHP-0013106,3,0,1050,220.5,829.5,1.767299352E9
retail,SKU-06947,SHP-0027236,4,0,480,100.8,379.2,1.767300398E9
wholesale,SKU-09878,SHP-0000420,3,0,660,0,660,1.722425378E9
online,SKU-02130,SHP-0000789,3,2,840,176.4,663.6,1.722436037E9
wholesale,SKU-04977,SHP-0022410,3,1,1050,0,1050,1.758160761E9
wholesale,SKU-09214,SHP-0021999,1,0,250,0,250,1.758165499E9
wholesale,SKU-04249,SHP-0002236,1,0,30,0,30,1.758198853E9
wholesale,SKU-04221,SHP-0013971,1,0,90,0,90,1.733057371E9
wholesale,SKU-02021,SHP-0018562,1,0,60,0,60,1.733082131E9
wholesale,SKU-05506,SHP-0014909,2,0,440,0,440,1.733073502E9
retail,SKU-09214,SHP-0027907,2,0,500,105,395,1.733028046E9
wholesale,SKU-08583,SHP-0014496,3,0,1650,0,1650,1.733028113E9
retail,SKU-09878,SHP-0027196,3,0,660,138.6,521.4,1.733074519E9
online,SKU-09925,SHP-0003937,3,0,1050,220.5,829.5,1.733044116E9
wholesale,SKU-08262,SHP-0000214,1,0,90,0,90,1.766994434E9
wholesale,SKU-90328,SHP-0003875,1,0,250,0,250,1.767007923E9
wholesale,SKU-08583,SHP-0022176,1,0,550,0,550,1.767015374E9
wholesale,SKU-01813,SHP-0026298,1,0,550,0,550,1.767019614E9
wholesale,SKU-01829,SHP-0028095,1,0,30,0,30,1.767033604E9
wholesale,SKU-05498,SHP-0027432,1,0,400,0,400,1.767036581E9
wholesale,SKU-06838,SHP-0024584,2,0,240,0,240,1.767040396E9
wholesale,SKU-04746,SHP-0005771,2,0,360,0,360,1.767050767E9
online,SKU-03014,SHP-0002441,2,0,1100,231,869,1.767022381E9
wholesale,SKU-05145,SHP-0014355,1,0,400,0,400,1.718227504E9
wholesale,SKU-09925,SHP-0025422,2,0,700,0,700,1.718190046E9
online,SKU-07824,SHP-0004861,3,0,840,176.4,663.6,1.718207687E9
retail,SKU-08297,SHP-0020788,4,0,880,184.8,695.2,1.718155463E9
wholesale,SKU-01952,SHP-0024131,1,0,90,0,90,1.762231012E9
retail,SKU-08843,SHP-0000030,3,0,540,113.4,426.6,1.762236139E9
online,SKU-09176,SHP-0001939,2,0,500,105,395,1.762288493E9
online,SKU-01863,SHP-0013476,4,0,480,100.8,379.2,1.762217502E9
online,SKU-02130,SHP-0014613,3,0,840,176.4,663.6,1.76226886E9
wholesale,SKU-05498,SHP-0006948,3,0,1200,0,1200,1.762244246E9
online,SKU-05498,SHP-0004642,3,0,1200,252,948,1.744976617E9
online,SKU-09176,SHP-0013126,4,0,1000,210,790,1.744956084E9
online,SKU-02152,SHP-0029932,3,3,540,113.4,426.6,1.744983421E9
retail,SKU-09176,SHP-0013092,3,0,750,157.5,592.5,1.74496166E9
retail,SKU-09214,SHP-0019069,2,0,500,105,395,1.745001406E9
retail,SKU-04081,SHP-0027730,2,1,800,168,632,1.744988925E9
wholesale,SKU-03628,SHP-0023649,1,0,90,0,90,1.744985699E9
wholesale,SKU-05523,SHP-0027790,2,0,700,0,700,1.744935543E9
wholesale,SKU-05498,SHP-0025302,1,1,400,0,400,1.744955682E9
online,SKU-09925,SHP-0000651,3,1,1050,220.5,829.5,1.771779316E9
wholesale,SKU-08057,SHP-0010951,2,0,560,0,560,1.77180173E9
wholesale,SKU-08101,SHP-0021598,2,0,560,0,560,1.750381024E9
online,SKU-05221,SHP-0013658,2,0,1100,231,869,1.750387074E9
retail,SKU-04869,SHP-0011507,3,0,1650,346.5,1303.5,1.750407385E9
wholesale,SKU-04253,SHP-9779633,4,0,1400,0,1400,1.750386993E9
wholesale,SKU-95915,SHP-0021084,2,0,560,0,560,1.780064695E9
retail,SKU-02246,SHP-0026146,3,0,660,138.6,521.4,1.780083052E9
online,SKU-04270,SHP-0025513,3,0,660,138.6,521.4,1.780095738E9
wholesale,SKU-06130,SHP-0027138,1,0,30,0,30,1.757207984E9
wholesale,SKU-09214,SHP-9969170,1,0,250,0,250,1.757241421E9
wholesale,SKU-07811,SHP-0029650,1,0,90,0,90,1.757246418E9
online,SKU-09176,SHP-0020675,3,0,750,157.5,592.5,1.757240109E9
online,SKU-04869,SHP-0016051,3,0,1650,346.5,1303.5,1.757226229E9
online,SKU-02610,SHP-0016876,3,0,1200,252,948,1.757240477E9
retail,SKU-06044,SHP-0002632,3,0,1050,220.5,829.5,1.757237029E9
wholesale,SKU-05200,SHP-0024310,3,0,540,0,540,1.737738207E9
wholesale,SKU-02427,SHP-0005173,1,0,60,0,60,1.737761287E9
online,SKU-01813,SHP-0023648,3,0,1650,346.5,1303.5,1.737747506E9
retail,SKU-05498,SHP-0024313,2,0,800,168,632,1.765622979E9
online,SKU-03014,SHP-0023548,2,2,1100,231,869,1.765645274E9
wholesale,SKU-07829,SHP-0024982,3,0,1050,0,1050,1.765657735E9
online,SKU-06682,SHP-0003008,3,0,1050,220.5,829.5,1.765649645E9
retail,SKU-06386,SHP-0024251,3,0,660,138.6,521.4,1.765637346E9
online,SKU-04221,SHP-0006758,3,0,270,56.7,213.3,1.765661648E9
wholesale,SKU-08095,SHP-0000989,4,0,720,0,720,1.765660445E9
retail,SKU-05203,SHP-0006169,3,0,270,56.7,213.3,1.730981148E9
wholesale,SKU-04812,SHP-0003197,2,0,440,0,440,1.754768208E9
wholesale,SKU-07702,SHP-0008893,2,0,560,0,560,1.754779668E9
online,SKU-02366,SHP-0013998,2,0,500,105,395,1.754773178E9
wholesale,SKU-05452,SHP-0020878,3,0,1350,0,1350,1.754751681E9
online,SKU-01332,SHP-0009631,4,0,320,67.2,252.8,1.75470878E9
wholesale,SKU-02366,SHP-0016504,1,0,250,0,250,1.718095289E9
online,SKU-06044,SHP-0022427,3,3,1050,220.5,829.5,1.718087712E9
wholesale,SKU-09214,SHP-0003593,1,0,250,0,250,1.77856196E9
wholesale,SKU-05815,SHP-0028326,1,0,30,0,30,1.778586036E9
wholesale,SKU-07811,SHP-0008329,1,0,90,0,90,1.77859597E9
wholesale,SKU-07887,SHP-0012458,1,0,60,0,60,1.778604953E9
wholesale,SKU-05221,SHP-0026029,1,0,550,0,550,1.778626833E9
wholesale,SKU-03888,SHP-0006570,2,1,240,0,240,1.778629298E9
wholesale,SKU-02779,SHP-0019241,3,0,240,0,240,1.778625888E9
retail,SKU-05498,SHP-0014991,3,0,1200,252,948,1.778562698E9
online,SKU-09028,SHP-0018884,4,0,720,151.2,568.8,1.778599869E9
online,SKU-06011,SHP-0005935,4,0,480,100.8,379.2,1.778600307E9
wholesale,SKU-04284,SHP-0029634,1,0,400,0,400,1.725808585E9
wholesale,SKU-02061,SHP-0002368,1,0,30,0,30,1.725835066E9
wholesale,SKU-03888,SHP-0028599,2,0,240,0,240,1.725801673E9
online,SKU-06665,SHP-0014284,2,0,500,105,395,1.72582056E9
online,SKU-09028,SHP-0025986,3,0,540,113.4,426.6,1.725817419E9
retail,SKU-03146,SHP-0003349,3,0,1350,283.5,1066.5,1.725826349E9
wholesale,SKU-02246,SHP-0029197,3,0,660,0,660,1.725816971E9
wholesale,SKU-04869,SHP-0016834,1,0,550,0,550,1.778091057E9
wholesale,SKU-05221,SHP-0008962,1,0,550,0,550,1.778095493E9
wholesale,SKU-02610,SHP-0017342,2,0,800,0,800,1.778037435E9
wholesale,SKU-08397,SHP-0011119,2,0,440,0,440,1.778070488E9
wholesale,SKU-07824,SHP-0020854,2,0,560,0,560,1.778099378E9
marketplace,SKU-05498,SHP-0016232,2,0,800,168,632,1.778066377E9
retail,SKU-09585,SHP-0012068,3,0,840,176.4,663.6,1.778087649E9
wholesale,SKU-05200,SHP-0007092,4,0,720,0,720,1.778081279E9
online,SKU-09878,SHP-0016079,4,0,880,184.8,695.2,1.778037196E9
online,SKU-06665,SHP-9846430,4,0,1000,210,790,1.778089688E9
wholesale,SKU-01203,SHP-0020913,1,0,60,0,60,1.748161152E9
online,SKU-05203,SHP-0006775,3,0,270,56.7,213.3,1.748191416E9
online,SKU-08843,SHP-0026967,3,0,540,113.4,426.6,1.748175318E9
wholesale,SKU-06130,SHP-0021640,1,0,30,0,30,1.746975582E9
wholesale,SKU-07887,SHP-0025884,1,0,60,0,60,1.74697919E9
wholesale,SKU-03997,SHP-0000531,2,2,600,0,600,1.746921825E9
wholesale,SKU-01863,SHP-0015996,2,0,240,0,240,1.746986507E9
wholesale,SKU-04888,SHP-0022824,3,0,360,0,360,1.746923309E9
online,SKU-08165,SHP-0023627,3,0,660,138.6,521.4,1.746941856E9
wholesale,SKU-02680,SHP-0020337,1,0,400,0,400,1.766711983E9
wholesale,SKU-07929,SHP-0019371,1,0,60,0,60,1.766714998E9
wholesale,SKU-05413,SHP-0025045,2,0,60,0,60,1.766752177E9
wholesale,SKU-01203,SHP-0009604,1,0,60,0,60,1.766767342E9
wholesale,SKU-01203,SHP-0003604,1,0,60,0,60,1.7667684E9
wholesale,SKU-01829,SHP-0028115,1,0,30,0,30,1.766770783E9
wholesale,SKU-07929,SHP-0013511,1,0,60,0,60,1.766788448E9
retail,SKU-09878,SHP-0012153,3,0,660,138.6,521.4,1.766753803E9
marketplace,SKU-04445,SHP-0011048,3,0,540,113.4,426.6,1.766719014E9
wholesale,SKU-05815,SHP-0022418,1,0,30,0,30,1.763553001E9
wholesale,SKU-07481,SHP-0024336,2,0,240,0,240,1.763518791E9
retail,SKU-01677,SHP-0011537,3,0,840,176.4,663.6,1.763574141E9
online,SKU-03146,SHP-0005008,3,0,1350,283.5,1066.5,1.763521908E9
online,SKU-06048,SHP-0011893,4,0,720,151.2,568.8,1.750522313E9
wholesale,SKU-06459,SHP-0001430,2,0,400,0,400,1.75054159E9
wholesale,SKU-06130,SHP-0006730,1,0,30,0,30,1.750494858E9
wholesale,SKU-01952,SHP-0011920,1,0,90,0,90,1.73647655E9
online,SKU-05145,SHP-0003944,2,1,800,168,632,1.736520089E9
online,SKU-04641,SHP-0008623,3,0,660,138.6,521.4,1.73653626E9
wholesale,SKU-05498,SHP-0009027,1,0,400,0,400,1.762128513E9
wholesale,SKU-05498,SHP-0000842,1,1,400,0,400,1.76213321E9
wholesale,SKU-01952,SHP-0009988,1,0,90,0,90,1.762208579E9
wholesale,SKU-04424,SHP-0018979,2,0,560,0,560,1.762145375E9
wholesale,SKU-04270,SHP-0005360,2,2,440,0,440,1.762170896E9
wholesale,SKU-08007,SHP-0019935,2,0,400,0,400,1.762178074E9
wholesale,SKU-04270,SHP-0003936,2,0,440,0,440,1.762187538E9
online,SKU-07141,SHP-0008697,2,0,1100,231,869,1.762132351E9
online,SKU-05221,SHP-0021720,2,0,1100,231,869,1.762208783E9
online,SKU-90108,SHP-0010854,3,0,750,157.5,592.5,1.762185138E9
retail,SKU-08396,SHP-0013168,3,1,840,176.4,663.6,1.762182256E9
online,SKU-04746,SHP-0003852,4,0,720,151.2,568.8,1.76218896E9
wholesale,SKU-08583,SHP-0026279,1,0,550,0,550,1.744184469E9
wholesale,SKU-07811,SHP-0009501,1,0,90,0,90,1.744185707E9
wholesale,SKU-08633,SHP-0005736,1,0,60,0,60,1.744227965E9
